gvkey;name;factiva_name;factiva_code
2136;VERIZON COMMUNICATIONS INC;Verizon Communications Inc.;BELATT
2154;BEMIS CO INC;Bemis Co Inc;BMIS
2184;BEST BUY COMPANY INC;;
2220;BIO RAD LABORATORIES INC;Bio-Rad Laboratories Inc;BIOB
2259;BLACK HILLS CORP;Black Hills Corporation;BHPL
2269;BLOCK H & R INC;H&R Block Inc;BLHR
2271;BLOUNT INTERNATIONAL INC NEW;;
2282;BOB EVANS FARMS INC;Bob Evans Farms Inc;BOBEV
2285;BOEING CO;The Boeing Company;BOEING
2312;ROBERT HALF INTERNATIONAL INC;Robert Half International Inc;BCMP
2352;BRADY CORP;Brady Corp;BRDYWH
2393;BRIGGS & STRATTON CORP;Briggs & Stratton Corp;BRIGG
2403;BRISTOL MYERS SQUIBB CO;Bristol-Myers Squibb Co;BRSTMY
2444;BRUNSWICK CORP;Brunswick Corp;BRWICK
2448;MATERION CORP;Materion Corp.;BRSHWL
2497;MASTEC INC;MasTec Inc;BSIM
2504;UNISYS CORP;Unisys Corp;BURCP
2536;ACXIOM CORP;LiveRamp Holdings Inc.;CCXN
2538;C D I CORP;;
2547;CIGNA CORP;Cigna Corp;CONGEN
2556;C S S INDUSTRIES INC;;
2558;C N A FINANCIAL CORP;;
2573;C S P INC;;
2574;C S X CORP;;
2577;C T S CORP;;
2581;C V D EQUIPMENT CORP;;
2593;CABOT CORP;Cabot Corporation;CBTPLS
2596;CACI INTERNATIONAL INC;CACI International Inc;CCINC
2615;CALAMP CORP;CalAmp Corp;CLAMP
2628;CALIFORNIA WATER SERVICE GROUP;California Water Service Group Holding;CWTR
2663;CAMPBELL SOUP CO;Campbell Soup Company;CAMSUP
2710;CONSTELLATION BRANDS INC;Constellation Brands Inc;CAWI
2751;CARDINAL HEALTH INC;Cardinal Health Inc;CDIST
2771;CARLISLE COMPANIES;Carlisle Companies Incorporated;CRLSLE
2787;CARPENTER TECHNOLOGY CORP;Carpenter Technology Corporation;CARP
2807;CASEYS GENERAL STORES INC;Casey's General Stores Inc;CASY
2817;CATERPILLAR INC;Caterpillar Inc;CATRA
2818;CATO CORP NEW;Cato Corp;CTO
2820;CAVCO INDUSTRIES INC DEL;;
2859;CLECO CORP NEW;;
2884;CENTURYLINK INC;CenturyLink, Inc.;CTLE
2940;MAGELLAN HEALTH SERVICES INC;Magellan Health Inc.;CHARMD
2960;CHEMED CORP NEW;Churchill Downs Inc;CHURD
2968;JPMORGAN CHASE & CO;JPMorgan Chase & Co.;CNYC
2986;CHESAPEAKE UTILITIES CORP;Chesapeake Utilities Corporation;CHPK
2991;CHEVRON CORP NEW;;
2999;CHICAGO RIVET & MACH CO;CommVault Systems Inc;CMMVLT
3007;BRINKER INTERNATIONAL INC;Brinker International Inc;CHILI
3026;CHURCH & DWIGHT INC;;
3028;CHURCHILL DOWNS INC;Churchill Downs Inc;CHURD
3062;CINTAS CORP;Cintas Corporation;CNTAS
3082;CITY NATIONAL CORP;City National Corp;CTYN
3093;CLARCOR INC;CLARCOR Inc;CLRKJL
3107;CLIFFS NATURAL RESOURCES INC;Cleveland-Cliffs Inc.;CCIC
3121;CLOROX CO;The Clorox Co;CLOR
3138;COCA COLA BOTTLING CO CONS;;
3144;COCA COLA CO;The Coca-Cola Company;COCA
3153;COEUR D ALENE MINES CORP ID;;
3157;COHERENT INC;Coherent Inc;COHRNT
3158;COHU INC;Cohu Inc;COH
3169;ONCOMED PHARMACEUTICALS INC;OncoMed Pharmaceuticals Inc.;ONCMPI
3170;COLGATE PALMOLIVE CO;Colgate-Palmolive Company;COLPA
3203;CHASE CORP;Chase Corporation Ltd;CHASC
3231;COMERICA INC;Comerica Inc;COMEC
3238;COMMERCE BANCSHARES INC;Citizens Commerce Bancshares, Inc;CICBAI
3243;CITIGROUP INC;Citigroup Inc.;CCRED
3246;COMMERCIAL METALS CO;Commercial Metals Company;COMMTL
3275;COMMUNICATIONS SYSTEMS INC;Brocade Communications Systems Inc;BRCADE
3278;AVIS BUDGET GROUP INC;Avis Budget Group Inc.;CMPCRD
3310;C A INC;;
3336;COMPUTER SCIENCES CORP;Computer Sciences Corp.;CMPTSN
3358;COMTECH TELECOMMUNICATIONS CORP;Comtech Telecommunications Corp;COMTHC
3362;CONAGRA INC;Conagra Brands Inc.;CAGRA
3382;SHUTTERSTOCK INC;Shutterstock Inc.;RKWRHD
3394;CONNECTICUT WATER SERVICE INC;Connecticut Water Service Inc;CTWS
3413;CONSOLIDATED EDISON INC;Consolidated Edison Inc;CONSED
3416;CON WAY INC;Con-way Inc.;CFRGHT
3424;BIGLARI HOLDINGS INC;Biglari Holdings Inc.;STAK
3429;CONSOLIDATED TOMOKA LAND CO;Consolidated Tomoka Land Co;CTLC
3439;C M S ENERGY CORP;;
3469;CONTINENTAL RESOURCES INC;Continental Resources Inc;CONTRE
3502;COOPER TIRE & RUBBER CO;Cooper Tire & Rubber Co;COOPTR
3504;COOPER COMPANIES INC;The Cooper Companies Inc;COOVIS
3505;MOLSON COORS BREWING CO;Molson Coors Brewing Company;COORSA
3532;CORNING INC;Corning Inc;CORN
3570;CRACKER BARREL OLD COUNTRY STORE;Cracker Barrel Old Country Store Incorporated;CBRL
3580;CRANE CO;Crane & Co Inc;CRANPA
3607;CHEMTURA CORP;;
3619;CROWN HOLDINGS INC;Crown Holdings Inc.;CRNCRK
3622;CROWN CRAFTS INC;Crown Crafts Inc;CRWCR
3639;CUBIC CORP;Cubic Corporation;CBIC
3643;CULLEN FROST BANKERS INC;Cullen/Frost Bankers Inc;CFBI
3647;CULP INC;Culp Inc;CULI
3650;CUMMINS INC;Cummins Inc;CUMEI
3662;CURTISS WRIGHT CORP;Curtiss-Wright Corporation;CWC
3707;D S T SYSTEMS INC DEL;;
3708;WENDYS CO;;
3734;DANA HOLDING CORP;;
3735;DANAHER CORP;Danaher Corp.;DMGI
3806;DAWSON GEOPHYSICAL CO;Dawson Geophysical Co.;TGCINC
3813;TARGET CORP;Teleflex Incorporated;TFLECS
3835;DEERE & CO;Deere & Company;DEERE
3851;DELTA AIR LINES INC;Delta Air Lines Inc;DELTAA
3863;DELUXE CORP;;
3897;D T E ENERGY CO;;
3905;DEVRY INC DEL;;
3937;ALLIANCE ONE INTERNATIONAL INC;Pyxus International Inc;DIINC
3946;DIEBOLD INC;John Diebold Inc;DIEJO
3964;DILLARDS INC;Dillard's Inc;DDSA
3969;DIODES INC;Diodes Inc;DIO
3980;DISNEY WALT CO;The Walt Disney Company;DSNYW
4001;DIXIE GROUP INC;The Dixie Group Inc;DIXY
4016;DOLLAR GENERAL CORP NEW;;
4029;DOMINION RESOURCES INC VA NEW;;
4036;DONALDSON INC;Donaldson Co Inc;DOCI
4040;DONNELLEY R R & SONS CO;RR Donnelley & Sons Co;DONNRR
4058;DOVER CORP;Dover Corporation;DVRCP
4060;DOW CHEMICAL CO;The Dow Chemical Co;DOWCH
4066;OMNICOM GROUP INC;Omnicom Group Inc.;OMNICC
4072;ASCENA RETAIL GROUP INC;Ascena Retail Group Inc.;DRBA
4087;DU PONT E I DE NEMOURS & CO;;
4091;DUCOMMUN INC DE;;
4093;DUKE ENERGY CORP NEW;;
4094;DUN & BRADSTREET CORP DEL NEW;;
4108;FLOWSERVE CORP;;
4115;DYCOM INDUSTRIES INC;Dycom Industries, Inc;DYMIN
4145;PERKINELMER INC;PerkinElmer Inc;EGG
4156;SUPREME INDUSTRIES INC;Supreme Industries Inc;ESIIND
4186;EASTERN CO;The Eastern Company;EML
4194;EASTMAN KODAK CO;Eastman Kodak Company;KDAK
4201;EATON VANCE CORP;Eaton Vance Corp;EAVN
4213;ECOLAB INC;Ecolab Inc;ECON
4225;EDUCATIONAL DEVELOPMENT CORP;Educational Development Corp;EDDEV
4241;EL PASO ELECTRIC CO;El Paso Electric Co;ELPASO
4274;ELECTRO SCIENTIFIC INDS INC;;
4321;EMERSON ELECTRIC CO;Emerson Electric Co;EMELC
4340;EMULEX CORP;Emulex Corp;EMUC
4351;ENERGEN CORP;Energen Corp;ALAG
4383;ATMOS ENERGY CORP;ATMOS Energy Corp;ENGAS
4390;ENNIS INC;Ennis Inc;ENBUS
4423;EQUIFAX INC;Equifax Inc.;EQF
4430;E Q T CORP;;
4448;ESCALADE INC;Escalade Inc;ESCA
4450;ESPEY MANUFACTURING & ELCTRS COR;;
4460;ESTERLINE TECHNOLOGIES CORP;;
4462;NEWMARKET CORP;;
4476;EXAR CORP;;
4485;KINGSTONE COMPANIES INC;Kingstone Companies Inc.;EXHSE
4494;EXPEDITORS INTERNATIONAL WA INC;;
4497;DYNAMIC MATERIALS CORP;Bank of Commerce Holdings;RDDNBP
4498;INSTEEL INDUSTRIES INC;Insteel Industries Inc;EXPIND
4503;EXXON MOBIL CORP;;
4510;F M C CORP;;
4517;NEXTERA ENERGY INC;NextEra Energy Inc.;FPL
4560;FAMILY DOLLAR STORES INC;Family Dollar Stores Inc;FDOST
4579;FARMER BROTHERS CO;Farmer Brothers Co;FRMBR
4598;FEDEX CORP;FedEx Corporation;FDEXPS
4600;FEDERAL MOGUL CORP;Federal-Mogul Holdings Corp.;FEDMGL
4608;FEDERAL SIGNAL CORP;Federal Signal Corp;FEDSC
4611;MACYS INC;;
4622;FERRO CORP;;
4640;FIFTH THIRD BANCORP;Fifth Third Bancorp;FITB
4674;REGIONS FINANCIAL CORP NEW;;
4678;FIRSTMERIT CORP;;
4685;TRUSTMARK CORP;Trustmark Corporation;FCAP
4699;M & T BANK CORP;M&T Bank Corp;FEMP
4723;U S BANCORP DEL;;
4737;FIRST HORIZON NATIONAL CORP;;
4771;FLEXSTEEL INDUSTRIES INC;Flexsteel Industries Inc;FLXS
4809;FLOWERS FOODS INC;Flowers Foods Inc;FLO
4818;FLUOR CORP NEW;;
4826;FONAR CORP;Fonar Corp;FONC
4839;FORD MOTOR CO DEL;;
4843;FOREST LABS INC;;
4860;FOSTER L B CO;LB Foster Co;FSTRA
4881;FRANKLIN ELECTRIC INC;;
4885;FRANKLIN RESOURCES INC;Franklin Resources Inc;FRRI
4900;FREQUENCY ELECTRONICS INC;Frequency Electronics Inc;FRQELC
4903;FRIEDMAN INDUSTRIES INC;Friedman Industries Inc;FRD
4926;FULLER H B CO;HB Fuller Co;FULH
4973;GALLAGHER ARTHUR J & CO;Arthur J. Gallagher & Co;GALGHA
4990;GAP INC;Gap Inc;GAPSTR
5046;GENERAL DYNAMICS CORP;;
5047;GENERAL ELECTRIC CO;General Electric Company;GNELC
5071;GENERAL MILLS INC;General Mills Inc;GNMLL
5072;ALLY FINANCIAL INC;Ally Financial Inc.;GMACUS
5073;GENERAL MOTORS CO;General Motors Company ;GNMOC
5109;GENESCO INC;Genesco Inc;GSCO
5116;GENTEX CORP;Gentex Corp;GTXC
5125;GENUINE PARTS CO;Genuine Parts Company;GENPT
5179;GLATFELTER P H CO;Glatfelter;GLT
5234;GOODYEAR TIRE & RUBBER CO;The Goodyear Tire & Rubber Co;GDYRR
5237;GORMAN RUPP CO;Gorman-Rupp Co;GRCP
5250;GRACE W R & CO DEL NEW;;
5252;GRACO INC;Graco Inc;GRCO
5254;GRAHAM CORP;Graham Corp;GRAMAN
5256;GRAINGER W W INC;W.W. Grainger, Inc.;GRNGRW
5284;GRAY TELEVISION INC;Gray Television Inc;GRCOM
5338;GREIF INC;Greif Inc;GRFBR
5342;MONEYGRAM INTERNATIONAL INC;MoneyGram International Inc;MNYGI
5379;GULFMARK OFFSHORE INC;Gulfmark Offshore Inc.;GULFMK
5439;HALLIBURTON COMPANY;;
5492;HARRIS CORP;Harris Corporation;HARSCO
5496;HARSCO CORP;Harsco Corporation;HRSCO
5518;HASBRO INC;Hasbro Inc;HASBRO
5520;ALLIED MOTION TECHNOLOGIES INC;Allied Motion Technologies Inc;HATH
5523;HAVERTY FURNITURE COS INC;Haverty Furniture Companies Inc;HAVT
5526;HAWAIIAN ELECTRIC INDUSTRIES INC;Hawaiian Electric Industries Inc;HWNELC
5530;HAWKINS INC;Hawkins Inc;HWKN
5539;HEALTHCARE SERVICES GROUP INC;Healthcare Services Group Inc;HESER
5559;STERLING CONSTRUCTION CO INC;;
5567;HEICO CORP NEW;HEICO Corporation;HEIN
5581;HELMERICH & PAYNE INC;Helmerich & Payne Inc;HLMPYN
5597;HERSHEY CO;Hershey Company;HERSHF
5600;HERTZ GLOBAL HOLDINGS INC;Hertz Global Holdings Inc.;HOEZNJ
5606;HEWLETT PACKARD CO;HP Inc;HEWLP
5608;HEXCEL CORP NEW;;
5639;HILL ROM HOLDINGS INC;Hill-Rom Holdings, Inc.;HILIND
5643;HILTON WORLDWIDE HOLDINGS INC;Hilton Inc;HILTON
5667;HOLLYFRONTIER CORP;HollyFrontier Corp.;HOLCO
5671;PINNACLE ENTERTAINMENT GROUP INC;Pinnacle Entertainment Group Inc.;PINEGI
5680;HOME DEPOT INC;The Home Depot, Inc.;HOMD
5690;H N I CORP;;
5709;HORMEL FOODS CORP;Hormel Foods Corp;HORMG
5723;STARWOOD HOTELS & REST WLDWD INC;;
5742;CENTERPOINT ENERGY INC;CenterPoint Energy Inc;HOUIND
5783;HUNT J B TRANSPORT SERVICES INC;JB Hunt Transport Services Inc;JBHT
5786;HUNTINGTON BANCSHARES INC;Huntington Bancshares Inc.;HUNBAN
5788;HURCO COMPANY;;
5860;I T T CORP;;
5870;IDACORP INC;IDACORP, Inc.;IPOW
5878;ILLINOIS TOOL WORKS INC;;
5918;VECTREN CORP;;
5968;RYERSON HOLDING CORP;Ryerson Holding Corporation;INLNDS
5978;AEGION CORP;Aegion Corp.;INEI
5987;GRIFFON CORP;Griffon Corp;ISY
6003;INTEGRATED DEVICE TECHNOLOGY;Integrated Device Technology Inc.;INDVT
6008;INTEL CORP;Intel Corporation;INTL
6066;INTERNATIONAL BUSINESS MACHS COR;;
6078;INTERNATIONAL FLAVORS & FRAG INC;;
6081;NAVISTAR INTERNATIONAL CORP;Navistar International Corporation;IHCGB
6100;INTERDIGITAL INC;Interdigital Inc;INTD
6104;INTERNATIONAL PAPER CO;International Paper Co;INTPAP
6116;INTERNATIONAL SPEEDWAY CORP;International Speedway Corp;ISCFL
6136;INTERPUBLIC GROUP COS INC;;
6158;INVACARE CORP;Invacare Corporation;INVAC
6194;ISRAMCO INC;Isramco Inc;ISRAM
6196;ANIXTER INTERNATIONAL INC;Anixter International Inc;ITELC
6216;JACOBS ENGINEERING GROUP INC;Jacobs Engineering Group Inc;JACINT
6223;EMCOR GROUP INC;EMCOR Group, Inc.;JWAT
6266;JOHNSON & JOHNSON;Johnson & Johnson;JONJON
6268;JOHNSON CONTROLS INC;Johnson Controls, Inc.;JONCON
6304;K L A TENCOR CORP;;
6307;SEARS HOLDINGS CORP;Sears Holdings Corp;KMRT
6310;KINDER MORGAN INC;Kinder Morgan Inc;KNNG
6311;PRIMEENERGY CORP;;
6326;KAMAN CORP;Kaman Corporation;KAMNA
6334;GREAT PLAINS ENERGY INC;Great Plains Energy Inc;KANPWR
6335;KANSAS CITY SOUTHERN;Kansas City Southern;KSU
6338;WESTAR ENERGY INC;Westar Energy Inc;KAN
6375;KELLOGG CO;Kellogg Company;KGGGB
6386;KENNAMETAL INC;Kennametal Inc.;KMETAL
6410;KEWAUNEE SCIENTIFIC CORP;Kewaunee Scientific Corp;KEQU
6416;KEY TRONICS CORP;Key Tronic Corporation;KEYT
6433;KIMBALL INTERNATIONAL INC;Kimball International Inc;KMBL
6435;KIMBERLY CLARK CORP;Kimberly-Clark Corporation;KMBCL
6461;KIRBY CORP;;
6502;KROGER COMPANY;The Kroger Co;KROGR
6509;KULICKE & SOFFA INDS INC;Kulicke & Soffa Industries Inc;KUSOFI
6527;L S I INDUSTRIES INC;;
6528;L S B INDUSTRIES INC;;
6543;LA Z BOY INC;La-Z-Boy Inc;LAZB
6565;LAM RESH CORP;;
6573;LANCASTER COLONY CORP;Lancaster Colony Corporation;LANCC
6574;SNYDERS LANCE INC;;
6617;LAWSON PRODUCTS INC;Lawson Products Inc;LASPRO
6649;LEGGETT & PLATT INC;Leggett & Platt Inc;LEGPLT
6653;LEGG MASON INC;Legg Mason Inc;LEMAW
6669;LENNAR CORP;Lennar Corporation;LENC
6682;LEUCADIA NATIONAL CORP;Jefferies Financial Group Inc.;LEUC
6730;LILLY ELI & CO;Eli Lilly and Co;LILYE
6737;LINCOLN ELECTRIC HOLDINGS INC;The Lincoln Electric Company;LINEL
6742;LINCOLN NATIONAL CORP;;
6774;LOCKHEED MARTIN CORP;;
6781;LOEWS CORP;Loews Corp;LOEW
6788;RANGE RESOURCES CORP;Range Resources Corp;LOMK
6821;LOUISIANA PACIFIC CORP;Louisiana-Pacific Corporation;LOUPAC
6829;LOWES COMPANIES INC;Lowe’s Companies Inc.;LOWCO
6831;LUBYS INC;Luby's Inc;LUB
6845;LYDALL INC;Lydall Inc;LDL
6865;M D C HOLDINGS INC;MDC Holdings Inc;MDCOR
6867;M D U RESOURCES GROUP INC;;
6900;M T S SYSTEMS CORP;;
6932;M G E ENERGY INC;;
6994;MANITOWOC CO INC;Manitowoc Company Inc;MANT
7017;MARATHON OIL CORP;Marathon Oil Corp;USSTEL
7022;MARCUS CORP;The Marcus Corp;MRCS
7065;MARSH & MCLENNAN COS INC;Marsh & McLennan Companies Inc;MM
7085;MASCO CORP;La-Z-Boy Inc;LAZB
7116;MATTEL INC;Mattel Inc;MATL
7117;MAUI LAND & PINEAPPLE CO INC;;
7124;MAXWELL TECHNOLOGIES INC;Maxwell Technologies Inc;MAXLAB
7146;MCCORMICK & CO INC;McCormick & Co Inc;MCORMK
7154;MCDONALDS CORP;;
7161;MCGRATH RENTCORP;McGrath RentCorp;MCGR
7171;MCKESSON H B O C INC;;
7185;GENCOR INDUSTRIES INC;Gencor Industries Inc;MCHT
7228;MEDTRONIC INC;The Marcus Corp;MRCS
7241;C V S CAREMARK CORP;CommVault Systems Inc;CMMVLT
7251;MENTOR GRAPHICS CORP;Mentor Graphics Corp;MENTOG
7257;MERCK & CO INC NEW;;
7260;MEREDITH CORP;Meredith Corporation;MERDCO
7275;MESA LABORATORIES INC;Mesa Laboratories Inc;MSMD
7291;METHODE ELECTRONICS INC;Methode Electronics Inc;METHB
7309;MEXCO ENERGY CORP;Mexco Energy Corp;MEXEN
7316;MICHAELS COMPANIES INC;Michaels Companies Inc;MCHS
7331;MICROS SYSTEMS INC;MICROS Systems Inc.;MSYS
7343;MICRON TECHNOLOGY INC;Micron Technology Inc;MICT
7346;MICROSEMI CORP;Microsemi Corporation;MSCCP
7366;ENTERGY CORP NEW;;
7368;MIDDLESEX WATER CO;Middlesex Water Co;MSEXW
7401;MILLER HERMAN INC;Markel Corporation;MKLC
7420;MINE SAFETY APPLIANCES CO;MSA Safety Inc.;MSAP
7435;3M CO;3M Company;MMMUK
7437;ALLETE INC;Allete Inc;MPL
7486;MODINE MANUFACTURING CO;;
7526;QUIDEL CORP;Quidel Corporation;MONOCA
7566;RUBY TUESDAY INC;NRD Capital Management LLC;BVBHOI
7585;MOTOROLA SOLUTIONS INC;Motorola Solutions Inc.;MTROL
7620;MURPHY OIL CORP;;
7632;INTERGROUP CORP;Intergroup Corp;MUTRS
7636;MYERS INDUSTRIES INC;Myers Industries Inc;MYES
7637;MYLAN INC;Mylan N.V.;MYLN
7647;BANK OF AMERICA CORP;Bank of America Corporation;NCNBCO
7648;N C R CORP NEW;;
7658;N L INDUSTRIES INC;;
7682;NANOMETRICS INC;Nanometrics Inc;NANOM
7685;NAPCO SECURITY TECHNOLOGIES INC;NAPCO Security Technologies Inc.;NAPSYS
7696;NATHANS FAMOUS INC NEW;Nathan's Famous Inc;NTHAN
7733;NATIONAL FUEL GAS CO N J;;
7741;NATIONAL HEALTHCARE CORP;National HealthCare Corp;NHEAL
7750;TENET HEALTHCARE CORP;Tenet Healthcare Corporation;NME
7759;G P STRATEGIES CORP;;
7762;NATIONAL PRESTO INDS INC;National Presto Industries Inc;NPK
7799;NATURES SUNSHINE PRODUCTS INC;Nature's Sunshine Products, Inc;NASP
7849;NEW JERSEY RES;New Jersey Resources Corp;NJRE
7866;NEW YORK TIMES CO;The New York Times Company;NYT
7875;NEWELL RUBBERMAID INC;Newell Brands Inc;NWL
7881;NEWMONT MINING CORP;Newmont Mining Corp;NEWMNT
7882;NEWPARK RESOURCES INC;Newpark Resources Inc;NP
7906;NIKE INC;Nike Inc;NIKE
7912;NOBLE ENERGY INC;Noble Energy Inc;NOBAFF
7921;NORDSON CORP;Nordson Corporation;NDSN
7922;NORDSTROM INC;Nordstrom Inc;NOBE
7923;NORFOLK SOUTHERN CORP;Norfolk Southern Corp;NRFWST
7938;NACCO INDUSTRIES INC;National Bank Holdings Corp.;NATBHC
7951;MOVADO GROUP INC;Movado Group Inc;USWAT
7974;NISOURCE INC;NiSource Inc;NINPUB
7977;X C E L ENERGY INC;;
7982;NORTHERN TRUST CORP;Northern Trust Corporation;NRTHNT
7985;NORTHROP GRUMMAN CORP;;
7991;TEREX CORP NEW;;
7993;NORTHWEST NATURAL GAS CO;Northwest Natural Holding Company;NWNG
8001;NORTHWESTERN CORP;Northwestern Corp;NWPS
8007;WELLS FARGO & CO NEW;;
8030;NUCOR CORP;Nucor Corporation;NUE
8060;NEWTEK BUSINESS SVCS INC;;
8068;OCCIDENTAL PETROLEUM CORP;Occidental Petroleum Corp;OCCID
8079;OCEANEERING INTERNATIONAL INC;Oceaneering International Inc;OCEINT
8092;BRISTOW GROUP INC;Bristow Group Inc.;OLOG
8099;FIRSTENERGY CORP;FirstEnergy Corp;FRSNGY
8105;OIL DRI CORP OF AMERICA;Oil-Dri Corp of America;OILC
8113;O G E ENERGY CORP;;
8123;OLIN CORP;Olin Corporation;OLINC
8133;OMNICARE INC;Omnicare Inc;OCR
8151;ONEOK INC NEW;;
8199;OTTER TAIL CORP;Otter Tail Corp;OTTR
8213;OWENS & MINOR INC NEW;Owens & Minor Inc;OBOD
8214;OWENS CORNING NEW;;
8215;OWENS ILL INC;;
8219;OXFORD INDUSTRIES INC;Oxford Industries Inc;OXM
8229;P & F INDUSTRIES INC;P&F Industries Inc;PFIN
8240;P H H CORP;;
8245;P N C FINANCIAL SERVICES GRP INC;;
8247;P P G INDUSTRIES INC;;
8253;PACCAR INC;Paccar Inc.;PACAR
8264;P G & E CORP;;
8272;SEMPRA ENERGY;Sempra Energy;SMPEGY
8304;PALL CORP;Pall Corporation;PLLEUR
8334;PAR TECHNOLOGY CORP;PAR Technology Corporation;PARRT
8348;PARK ELECTROCHEMICAL CORP;Park Electrochemical Corp;PEL
8350;PARK OHIO HOLDINGS CORP;Park Ohio Holdings Corp;PKOH
8358;PARKER HANNIFIN CORP;Parker Hannifin Corp;PRKHNF
8386;PATRICK INDUSTRIES INC;Patrick Industries Inc;PATK
8387;GOODRICH PETROLEUM CORP;Goodrich Petroleum Corporation;PATPET
8402;PAYCHEX INC;Paychex Inc;PAYCH
8431;AMERICAN FINANCIAL GROUP INC NEW;;
8440;PENN VIRGINIA CORP;Penn Virginia Corp;PVIR
8446;PENNEY J C CO INC;;
8455;P P L CORP;;
8475;PEP BOYS MANNY MOE & JACK;Pep Boys-Manny Moe & Jack Inc;PBY
8479;PEPSICO INC;PepsiCo Inc;PEPSCO
8486;TUTOR PERINI CORP;Tutor Perini Corp;PERINI
8512;P D C ENERGY INC;;
8530;PFIZER INC;Pfizer Inc;PFIZ
8539;EXELON CORP;Exelon Corp;PHELC
8542;AQUA AMERICA INC;Aqua America Inc;PHSC
8543;ALTRIA GROUP INC;Altria Group, Inc.;PHILM
